id,osm_id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,train,wkt
4635794-1,4635794,550293054,25897189,52.14574021564585,Allowed,Secondary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0557010 43.5882719, 7.0558239 43.5887318)"
4635795-0,4635795,25897181,25897172,30.022188052546085,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0559958 43.5893159, 7.0559570 43.5893665, 7.0559167 43.5893805, 7.0558642 43.5893895, 7.0558147 43.5893888, 7.0557703 43.5893806, 7.0556798 43.5893525)"
4635798-0,4635798,25897507,1022376476,30.83115548205638,Allowed,Secondary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0603091 43.5803272, 7.0603319 43.5802403, 7.0603386 43.5801694, 7.0603319 43.5801052, 7.0603117 43.5800542)"
4635798-1,4635798,1022376476,1022384419,7.600686810600189,Allowed,Secondary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0603117 43.5800542, 7.0602969 43.5800280, 7.0602644 43.5799957)"
4635798-2,4635798,1022384419,2289504060,45.823024424958476,Allowed,Secondary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0602644 43.5799957, 7.0602185 43.5799641, 7.0601639 43.5799330, 7.0600884 43.5799046, 7.0600019 43.5798779, 7.0597585 43.5798196)"
4635799-0,4635799,5498570951,10798049205,146.22662655447775,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0618917 43.5813105, 7.0618613 43.5812743, 7.0617735 43.5811098, 7.0615040 43.5803064, 7.0614603 43.5802067, 7.0614168 43.5801325, 7.0613165 43.5800927)"
4635799-1,4635799,10798049205,25897633,46.87266634803943,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0613165 43.5800927, 7.0612685 43.5800736, 7.0610192 43.5800148, 7.0607579 43.5799860)"
4635800-0,4635800,25897524,25897554,104.47047843186971,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0565915 43.5808762, 7.0564802 43.5808747, 7.0564266 43.5808747, 7.0562884 43.5808834, 7.0561194 43.5809019, 7.0559800 43.5809145, 7.0558405 43.5809077, 7.0557305 43.5808786, 7.0555401 43.5808027, 7.0554650 43.5807523, 7.0554027 43.5806921)"
4635800-1,4635800,25897554,25897552,42.301193305041465,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0554027 43.5806921, 7.0553631 43.5806162, 7.0553470 43.5805453, 7.0553416 43.5804569, 7.0553040 43.5804064, 7.0552143 43.5803578)"
4635800-2,4635800,25897552,6428856350,48.41765807545894,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0552143 43.5803578, 7.0546905 43.5801452)"
